pitch_type,release_speed,release_pos_x,release_pos_z,pitcher,zone,stand,p_throws,pfx_x,pfx_z,plate_x,plate_z,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,effective_speed,release_spin_rate,release_extension,release_pos_y,pitch_name,spin_axis,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,spin_axis_sin,spin_axis_cos
FF,94.6,-2.83,4.87,657746,7.0,L,R,-0.88,1.27,-0.64,1.84,7.718502253495037,-137.50345185664318,-5.047199613003062,-12.943434926590538,32.62234984035393,-15.111679151415808,3.02,1.52,94.8,2257.0,6.6,53.86,4-Seam Fastball,229.0,1.3,0.88,-0.88,20.8,-0.754709580222772,-0.6560590289905073
FC,88.8,0.98,6.51,702070,4.0,R,L,-0.22,0.57,-0.32,2.85,-2.717978166145703,-129.30542732179669,-4.107975180695127,-1.9159763230921956,27.6334740332752,-25.108340320338733,3.51,1.65,88.8,2530.0,6.3,54.17,Cutter,207.0,2.32,-0.22,0.22,57.1,-0.4539904997395467,-0.8910065241883679
FF,97.3,2.68,5.22,656945,5.0,R,L,0.47,1.32,0.08,2.69,-8.014867270336758,-141.4678011554539,-4.24146219290987,8.202291450512366,33.785311694063445,-13.745321599410005,3.32,1.61,96.8,2658.0,6.2,54.33,4-Seam Fastball,141.0,1.11,0.47,-0.47,31.4,0.6293203910498374,-0.7771459614569709
CH,88.2,-3.03,4.81,642547,13.0,R,R,-1.54,0.5,-0.32,0.15,9.878281371319826,-127.94130696749323,-6.280592523034215,-18.97629015488525,27.561102653175823,-25.50783767148049,3.58,1.57,88.7,1933.0,6.9,53.6,Changeup,244.0,2.46,1.54,1.54,30.2,-0.8987940462991668,-0.43837114678907774
CH,79.0,1.2,6.57,542881,9.0,R,L,1.41,0.75,0.82,1.79,-3.4455424310793905,-114.87993322135064,-4.920326638108715,13.073322205375534,23.998437911442867,-24.75715704438623,4.04,1.86,78.2,1950.0,6.0,54.46,Changeup,137.0,2.94,1.41,-1.41,58.6,0.6819983600624986,-0.7313537016191705
CH,86.7,3.1,5.74,678606,13.0,R,L,1.52,0.01,-0.94,2.01,-12.607577707934096,-125.64977375884618,-2.6622633662294,18.659208050698453,26.005822510265165,-31.711493722526548,3.34,1.55,85.8,2018.0,6.0,54.51,Changeup,90.0,3.05,1.52,-1.52,27.9,1.0,6.123233995736766e-17
FF,91.8,-2.02,5.82,642520,2.0,L,R,-0.54,1.39,-0.18,3.11,5.853456554592874,-133.58085163511555,-4.027076444853528,-7.728070976836278,28.6380051389632,-14.900501215950404,3.42,1.71,92.4,2317.0,6.6,53.86,4-Seam Fastball,209.0,1.32,0.54,-0.54,47.4,-0.48480962024633695,-0.8746197071393959
CH,87.3,-1.66,5.02,621121,14.0,R,R,-1.39,-0.26,0.25,0.4,7.3917050458737075,-126.75241367223,-4.307703335205678,-16.589310245494815,29.44783035072528,-34.13880180897983,3.41,1.69,85.9,1869.0,5.8,54.66,Changeup,257.0,3.3,1.39,1.39,23.8,-0.9743700647852351,-0.22495105434386525
CH,91.5,-1.88,5.94,670174,8.0,L,R,-1.4,0.08,-0.19,2.37,7.270733494671303,-133.1173374789859,-3.346920845731228,-18.160324619020628,26.718696384260653,-30.733558368361876,3.7,1.78,91.8,1646.0,6.4,54.14,Changeup,238.0,2.63,1.4,-1.4,42.7,-0.848048096156426,-0.529919264233205
SI,94.5,-2.63,6.07,681857,14.0,R,R,-1.45,0.87,0.44,1.53,11.083890491584144,-137.09868100640278,-8.04586767068903,-20.644263894492475,27.321792919409408,-19.526446851940257,3.79,1.69,93.8,2165.0,5.8,54.69,Sinker,225.0,1.67,1.45,1.45,35.5,-0.7071067811865475,-0.7071067811865477
